index,temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_spring,is_summer,is_autumn,is_winter,is_night,is_morning_rush,is_evening_rush,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm2_5_rolling_mean_3h,pm2_5_rolling_std_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,pm10_rolling_mean_3h,pm10_rolling_std_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,temp_squared,temp_cubed,temp_change_rate,is_hot,is_cold,humidity_squared,is_high_humidity,is_low_humidity,wind_speed_squared,is_high_wind,is_calm,pressure_change_rate,is_low_pressure,is_high_pressure,pm2_5_squared,pm2_5_change_rate,is_high_pm2_5,is_low_pm2_5,pm10_squared,pm10_change_rate,is_high_pm10,is_low_pm10,no2_squared,no2_change_rate,is_high_no2,o3_squared,o3_change_rate,is_high_o3,co_squared,co_change_rate,is_high_co,so2_squared,so2_change_rate,is_high_so2,temp_humidity_interaction,temp_wind_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,wind_pm2_5_interaction,time,time_str
0,34.94,55.0,995.0,4.12,180.0,156.25,0.0,1.33,65.94,0.48,26.55,104.25,16.07,4.0,81.0,75.0,81.0,-0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,26.53,26.59,25.91,25.67,31.9,25.34,19.08,28.22,26.395,0.32429410519876367,25.91,26.59,25.924285714285713,0.6575676680732095,25.08,26.59,27.518461538461533,2.2583764306607748,25.08,31.9,30.5192,6.52811989268988,24.5,46.72,0.0007538635506973076,0.03428126217374363,0.04775059194948701,104.32,103.73,99.93,94.89,112.7,100.86,81.16,104.45,103.0575,2.101545066532395,99.93,104.32,99.37,4.852920083138947,93.58,104.32,102.18538461538462,5.826532152410809,93.58,112.7,118.7764,26.398293960027036,93.58,176.34,-0.000671012269938585,0.09864053114132153,0.03361094586555622,1220.8035999999997,42654.87778399999,-0.027824151363383454,0,0,3025.0,0,0,16.9744,0,1,0.0,1,0,704.9025,0.0007538635506973979,0,0,10868.0625,-0.0006710122699385979,1,0,1.7689000000000001,-0.03623188405797084,0,4348.0836,-0.023255813953488524,0,24414.0625,-0.02080591589897851,0,0.2304,-0.05882352941176472,0,1921.6999999999998,143.9528,927.6569999999999,1460.25,109.38600000000001,2025-06-25 20:00:00+00:00,2025-06-25 20:00:00
1,33.94,70.0,993.0,5.14,360.0,132.99,0.02,1.16,67.15,1.29,16.18,51.28,3.45,3.0,60.0,47.0,60.0,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,0,16.0,15.37,15.2,19.5,20.11,13.67,20.23,28.11,15.6875,0.4756311596184593,15.2,16.18,16.462857142857143,1.5112987161788398,15.2,19.5,18.237692307692306,2.2878743913880486,15.2,21.0,18.0316,2.2507696461432927,13.67,21.0,0.011249999999999982,-0.17025641025641028,0.18361375274323335,50.08,48.04,48.05,76.62,102.53,49.97,68.19,71.77,49.362500000000004,1.5982568629603953,48.04,51.28,55.05428571428571,10.412988455358462,48.04,76.62,75.44923076923077,24.740662367021915,48.04,106.26,74.996,21.935132778262364,48.04,106.26,0.023961661341853093,-0.33072304881232056,0.026215729437662642,1151.9235999999999,39096.28698399999,-0.12840267077555212,0,0,4900.0,0,0,26.419599999999996,0,0,0.0,1,0,261.7924,0.011249999999999982,0,0,2629.6384000000003,0.02396166134185318,1,0,1.3456,0.24731182795698903,0,4509.1225,-0.01927851613845466,0,17686.3401,-0.016418903927224338,0,1.6641000000000001,-0.022727272727272707,0,2375.7999999999997,174.45159999999998,549.1492,1132.6,83.1652,2025-07-08 12:00:00+00:00,2025-07-08 12:00:00
2,30.94,70.0,996.0,0.0,0.0,463.52,0.0,7.46,45.11,1.27,45.65,70.1,17.53,3.0,126.0,58.0,126.0,0.0,1.0,-0.7907757369376986,-0.6121059825476627,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,1,0,0,1,0,0,45.02,44.29,43.69,40.0,28.42,39.56,55.81,59.16,44.6625,0.8539076843156611,43.69,45.65,43.22142857142857,2.0360781629677893,40.0,45.65,38.434615384615384,6.033797333057372,28.42,45.65,38.3248,6.473631850308861,28.16,52.25,0.01399378054198124,0.14124999999999996,0.15394337714863487,66.48,64.57,63.62,57.03,35.01,100.02,134.8,160.85,66.1925,2.8636500600923056,63.62,70.1,63.34285714285714,4.329490787170065,57.03,70.1,54.089999999999996,11.715462716711903,35.01,70.1,63.20759999999999,22.262672660756614,34.18,100.02,0.0544524669073404,0.22917762581097656,-0.2991401719656069,957.2836000000001,29618.354584000004,-0.06835290575127972,0,0,4900.0,0,0,0.0,0,1,0.0,1,0,2083.9224999999997,0.013993780541981193,1,0,4914.009999999999,0.05445246690734051,1,0,55.6516,-0.05449936628643848,0,2034.9121,-0.0070438036539731685,0,214850.79039999997,-0.01001687277076524,0,1.6129,0.016000000000000014,0,2165.8,0.0,1412.411,3195.5,0.0,2025-07-20 00:00:00+00:00,2025-07-20 00:00:00
3,30.94,70.0,998.0,0.0,0.0,139.38,0.24,2.76,51.93,3.52,33.82,152.27,8.48,4.0,97.0,99.0,99.0,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,1,0,0,1,0,0,31.34,29.21,27.56,24.97,22.86,37.81,20.14,45.66,30.4825,2.7101337605365536,27.56,33.82,28.444285714285712,3.2166486552666234,24.97,33.82,25.905384615384612,3.679990071056839,22.35,33.82,29.524400000000004,7.272316274750432,22.35,45.33,0.07913209955328655,0.354425310372447,-0.10552763819095481,139.2,126.79,116.47,105.12,84.86,142.15,93.66,179.41,133.6825,15.488863472400636,116.47,152.27,122.37714285714284,17.924511815096217,105.12,152.27,109.57538461538462,19.73746674702059,84.86,152.27,110.07999999999998,24.287370860867863,78.54,156.25,0.0938936781609197,0.4485350076103501,0.07119240239183963,957.2836000000001,29618.354584000004,-0.13671875,0,0,4900.0,0,0,0.0,0,1,0.0,1,0,1143.7924,0.07913209955328648,0,0,23186.152900000005,0.09389367816091965,1,0,7.617599999999999,0.05747126436781613,0,2696.7249,-0.006314580941446546,0,19426.7844,0.03313319991105179,0,12.3904,0.1932203389830507,0,2165.8,0.0,1046.3908000000001,2367.4,0.0,2025-07-10 04:00:00+00:00,2025-07-10 04:00:00
4,32.94,58.0,990.0,4.12,230.0,163.83,0.0,1.62,69.1,3.97,19.64,83.62,12.76,3.0,67.0,65.0,67.0,-0.7071067811865477,0.7071067811865474,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,0,0,0,19.08,20.74,24.79,31.52,31.73,25.74,27.14,42.87,21.0625,2.5788934965730297,19.08,24.79,24.83142857142857,5.148379772871683,19.08,31.52,28.006923076923076,5.099449945198967,19.08,31.91,29.770799999999994,4.7925888272067185,19.08,36.18,0.029350104821803058,-0.3769035532994924,-0.2369852369852369,81.16,83.09,88.18,98.66,103.92,101.36,111.34,146.46,84.0125,2.9726461276108904,81.16,88.18,89.00571428571428,6.802469789576079,81.16,98.66,94.9353846153846,8.276832743049132,81.16,103.92,106.28359999999999,16.73110697672651,81.16,143.41,0.0303104977821588,-0.15244273261706864,-0.17501973164956586,1085.0435999999997,35741.33618399999,0.0,0,0,3364.0,0,0,16.9744,0,1,-0.0010090817356205317,1,0,385.7296,0.029350104821803003,0,0,6992.304400000001,0.030310497782158885,1,0,2.6244000000000005,-0.0898876404494382,0,4774.8099999999995,0.024462564862861358,0,26840.268900000003,-0.06211357911609794,0,15.760900000000001,0.2484276729559749,0,1910.52,135.7128,646.9416,1139.1200000000001,80.91680000000001,2025-06-23 21:00:00+00:00,2025-06-23 21:00:00
5,29.94,74.0,996.0,4.12,180.0,126.31,0.2,2.53,51.18,3.65,21.0,104.11,7.91,4.0,70.0,75.0,75.0,0.7071067811865475,0.7071067811865476,0.9987165071710528,-0.05064916883871264,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,1,0,0,1,0,0,20.71,20.37,20.11,19.89,16.87,43.22,24.71,24.77,20.5475,0.3890479833302487,20.11,21.0,20.26,0.4519955751995807,19.87,21.0,19.449230769230773,1.139623194587152,16.87,21.0,23.7056,11.303585743765854,13.67,50.84,0.014002897151134676,0.055806938159879305,-0.5141138361869505,106.26,105.06,102.53,97.09,58.75,167.15,109.81,105.54,104.49000000000001,1.57520369053233,102.53,106.26,101.89714285714287,3.5092910693648385,97.09,106.26,88.97999999999999,17.11206591852661,58.75,106.26,97.4776,44.364230268689816,49.97,196.18,-0.020233389798607244,0.0723040477907096,-0.3771462758001795,896.4036000000001,26838.323784000004,0.0,0,0,5476.0,0,0,16.9744,0,1,0.0,1,0,441.0,0.014002897151134786,0,0,10838.8921,-0.020233389798607226,1,0,6.400899999999999,-0.019379844961240456,0,2619.3924,0.052220394736842035,0,15954.216100000001,0.017562233142673023,0,13.3225,-0.01084010840108407,0,2215.56,123.3528,628.74,1554.0,86.52,2025-07-08 03:00:00+00:00,2025-07-08 03:00:00
6,33.94,62.0,994.0,2.06,90.0,141.4,0.0,1.34,69.43,3.4,30.89,128.15,14.28,4.0,91.0,87.0,91.0,0.0,1.0,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,27.16,25.07,25.74,36.36,39.16,36.32,45.85,57.88,27.215,2.6003397213953927,25.07,30.89,29.31714285714285,3.975603578014766,25.07,36.36,34.06923076923077,6.052124229748402,25.07,40.48,37.1832,5.572088716690239,25.07,43.27,0.13733431516936673,-0.15044004400440042,-0.1495044052863436,113.95,103.55,101.36,113.25,119.94,143.27,162.01,181.66,111.7525,12.233724902906722,101.36,128.15,110.63285714285715,9.127951055751259,101.36,128.15,114.01692307692308,7.554232130198482,101.36,128.15,130.89600000000002,24.446525315471728,101.36,177.78,0.12461605967529621,0.13156732891832235,-0.10553500383890559,1151.9235999999999,39096.28698399999,-0.028620492272467102,0,0,3844.0,0,0,4.2436,0,1,0.001007049345417954,1,0,954.1921,0.13733431516936667,0,0,16422.4225,0.1246160596752961,1,0,1.7956000000000003,0.22935779816513757,0,4820.524900000001,-0.00028797696184301724,0,19993.960000000003,-0.012155931256112806,0,11.559999999999999,0.6748768472906406,0,2104.2799999999997,69.9164,1048.4066,1915.18,63.6334,2025-06-23 00:00:00+00:00,2025-06-23 00:00:00
7,39.94,44.0,996.0,4.12,180.0,171.35,0.09,0.66,94.45,2.12,32.62,89.89,6.57,3.0,94.0,68.0,94.0,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,1,0,0,0,1,0,33.17,33.93,32.99,35.14,30.32,24.2,24.94,19.11,33.1775,0.5514450713050822,32.62,33.93,34.30428571428571,1.634430146797931,32.62,37.28,32.99384615384616,2.063534744322383,30.32,37.28,30.5572,3.6947976038388535,23.86,37.28,-0.01658124811576739,-0.07171314741035865,0.3479338842975206,97.53,104.35,109.7,117.51,108.01,86.39,87.87,66.56,100.3675,8.578758165764242,89.89,109.7,109.72857142857141,13.400509229840766,89.89,126.24,109.37692307692306,9.534263111374841,89.89,126.24,103.41199999999999,10.129993418885654,86.39,126.24,-0.07833487132164463,-0.23504382605735685,0.04051394837365436,1595.2035999999998,63712.431783999986,0.0,1,0,1936.0,0,0,16.9744,0,1,-0.0010030090270812808,1,0,1064.0643999999998,-0.016581248115767333,0,0,8080.2121,-0.07833487132164463,1,0,0.43560000000000004,-0.08333333333333326,0,8920.8025,0.021301903114186782,0,29360.8225,0.02127786386935271,0,4.494400000000001,-0.12396694214876025,0,1757.36,164.5528,1302.8428,1435.28,134.3944,2025-07-03 08:00:00+00:00,2025-07-03 08:00:00
8,35.94,59.0,995.0,2.06,50.0,497.77,0.06,6.18,82.8,1.5,15.36,41.0,27.8,2.0,58.0,38.0,58.0,-0.4999999999999997,-0.8660254037844388,-0.72479278722912,0.6889669190756865,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,1,0,0,0,0,0,13.76,12.62,11.91,14.0,37.59,20.69,25.67,30.89,13.4125,1.505442902714458,11.91,15.36,12.968571428571426,1.4655878066658505,11.18,15.36,19.23,11.778382741276497,0.0,37.59,23.366,10.107231734423296,0.0,37.59,0.11627906976744183,0.0971428571428571,-0.2576123731271146,35.91,31.55,28.18,33.74,97.75,53.13,94.89,98.51,34.16,5.550393379452187,28.18,41.0,31.89428571428572,5.441577152330186,25.49,41.0,51.13538461538461,34.001578545557905,0.0,101.81,60.397600000000004,27.670348341380407,0.0,101.81,0.141743247006405,0.21517486662714871,-0.2283079239600979,1291.6835999999998,46423.108583999994,0.0,1,0,3481.0,0,0,4.2436,0,1,0.0,1,0,235.9296,0.11627906976744184,0,0,1681.0,0.14174324700640506,0,0,38.1924,0.6436170212765957,0,6855.839999999999,-0.13243922883487014,0,247774.9729,0.08560150047980453,0,2.25,0.006711409395973256,0,2120.46,74.0364,552.0383999999999,906.24,31.6416,2025-06-27 14:00:00+00:00,2025-06-27 14:00:00
9,32.94,62.0,1002.0,3.09,230.0,245.81,0.26,1.49,90.91,3.13,46.51,114.93,11.48,4.0,128.0,81.0,128.0,1.0,6.123233995736766e-17,0.6513724827222223,-0.7587581226927909,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,0,0,37.75,31.9,29.78,27.41,43.22,35.24,40.49,45.33,36.485,7.485098529745616,29.78,46.51,32.754285714285714,7.058627952472673,27.35,46.51,33.941538461538464,6.227195524677549,27.35,46.51,36.716,6.061516586905734,27.35,46.51,0.23205298013245027,0.6968259759211965,0.3198070374574346,101.89,91.45,83.4,78.66,109.2,107.58,173.23,156.25,97.9175,13.635642938025816,83.4,114.93,88.96285714285715,14.811200395067821,74.47,114.93,96.30538461538461,14.330059092332581,74.47,114.93,99.8172,11.265105606843344,74.47,114.93,0.12798115614878797,0.4610983981693365,0.06832124930284447,1085.0435999999997,35741.33618399999,0.06464124111182934,0,0,3844.0,0,0,9.5481,0,1,0.0,1,0,2163.1801,0.23205298013245024,1,0,13208.904900000001,0.12798115614878802,1,0,2.2201,-0.3004694835680751,0,8264.6281,0.20714380560350554,0,60422.5561,0.015911720945610774,0,9.796899999999999,0.07931034482758625,0,2042.2799999999997,101.78459999999998,1532.0394,2883.62,143.71589999999998,2025-07-12 06:00:00+00:00,2025-07-12 06:00:00
