temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_spring,is_summer,is_autumn,is_winter,is_night,is_morning_rush,is_evening_rush,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm2_5_rolling_mean_3h,pm2_5_rolling_std_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,pm10_rolling_mean_3h,pm10_rolling_std_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,temp_squared,temp_cubed,temp_change_rate,is_hot,is_cold,humidity_squared,is_high_humidity,is_low_humidity,wind_speed_squared,is_high_wind,is_calm,pressure_change_rate,is_low_pressure,is_high_pressure,pm2_5_squared,pm2_5_change_rate,is_high_pm2_5,is_low_pm2_5,pm10_squared,pm10_change_rate,is_high_pm10,is_low_pm10,no2_squared,no2_change_rate,is_high_no2,o3_squared,o3_change_rate,is_high_o3,co_squared,co_change_rate,is_high_co,so2_squared,so2_change_rate,is_high_so2,temp_humidity_interaction,temp_wind_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,wind_pm2_5_interaction,time
30.94,58.0,997.0,0.0,0.0,258.82,0.0,5.28,49.89,0.91,52.7,136.51,51.28,4.0,143.0,91.0,143.0,0.0,1.0,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.2836000000001,29618.354584000004,,0,0,3364.0,0,0,0.0,0,1,,1,0,2777.2900000000004,,1,0,18634.980099999997,,1,0,27.878400000000003,,0,2489.0121,,0,66987.79239999999,,0,0.8281000000000001,,0,1794.52,0.0,1630.5380000000002,3056.6000000000004,0.0,2025-06-16 00:00:00+00:00
30.94,58.0,997.0,2.06,360.0,270.3,0.0,5.74,45.52,0.93,53.37,138.53,52.39,4.0,145.0,92.0,145.0,0.25881904510252074,0.9659258262890683,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,52.7,,,,,,,,,,,,,,,,,,,,,,,,0.012713472485768484,,,136.51,,,,,,,,,,,,,,,,,,,,,,,,0.01479745073620986,,,957.2836000000001,29618.354584000004,0.0,0,0,3364.0,0,0,4.2436,0,1,0.0,1,0,2848.3568999999998,0.012713472485768484,1,0,19190.5609,0.01479745073620986,1,0,32.9476,0.08712121212121215,0,2072.0704,-0.08759270394868701,0,73062.09000000001,0.04435515029750414,0,0.8649000000000001,0.0219780219780219,0,1794.52,63.7364,1651.2678,3095.46,109.9422,2025-06-16 01:00:00+00:00
29.94,58.0,997.0,0.0,0.0,291.42,0.1,6.37,42.1,1.04,54.34,144.76,50.86,4.0,147.0,95.0,147.0,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,53.37,52.7,,,,,,,53.47,0.8245604889879246,52.7,54.34,,,,,,,,,,,,,0.018175004684279683,,,138.53,136.51,,,,,,,139.9333333333333,4.3003061906489215,136.51,144.76,,,,,,,,,,,,,0.04497220818595249,,,896.4036000000001,26838.323784000004,-0.03232062055591467,0,0,3364.0,0,0,0.0,0,1,0.0,1,0,2952.8356000000003,0.018175004684279683,1,0,20955.457599999998,0.04497220818595249,1,0,40.5769,0.10975609756097549,0,1772.41,-0.0751318101933216,0,84925.61640000001,0.07813540510543837,0,1.0816000000000001,0.11827956989247301,0,1736.52,0.0,1626.9396000000002,3151.7200000000003,0.0,2025-06-16 02:00:00+00:00
29.94,66.0,997.0,3.09,50.0,313.3,0.38,6.93,42.22,1.2,55.46,154.77,47.67,4.0,147.0,95.0,147.0,0.7071067811865475,0.7071067811865476,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,54.34,53.37,52.7,,,,,,54.39000000000001,1.045896744425573,53.37,55.46,,,,,,,,,,,,,0.020610967979388883,,,144.76,138.53,136.51,,,,,,146.02,8.192990906866703,138.53,154.77,,,,,,,,,,,,,0.0691489361702129,,,896.4036000000001,26838.323784000004,0.0,0,0,4356.0,0,0,9.5481,0,1,0.0,1,0,3075.8116,0.020610967979388883,1,0,23953.752900000003,0.0691489361702129,1,0,48.024899999999995,0.08791208791208782,0,1782.5284,0.002850356294536782,0,98156.89000000001,0.07508063962665568,0,1.44,0.15384615384615374,0,1976.0400000000002,92.5146,1660.4724,3660.36,171.3714,2025-06-16 03:00:00+00:00
29.94,66.0,998.0,2.06,50.0,239.89,0.13,4.41,72.36,2.14,58.39,185.78,30.98,4.0,152.0,116.0,152.0,0.8660254037844386,0.5000000000000001,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,55.46,54.34,53.37,,,,,,56.06333333333333,2.091323344997928,54.34,58.39,,,,,,,,,,,,,0.052830869094843136,,,154.77,144.76,138.53,,,,,,161.76999999999998,21.387148009961525,144.76,185.78,,,,,,,,,,,,,0.20036182722749873,,,896.4036000000001,26838.323784000004,0.0,0,0,4356.0,0,0,4.2436,0,1,0.0010030090270811698,1,0,3409.3921,0.052830869094843136,1,0,34514.2084,0.20036182722749873,1,0,19.4481,-0.36363636363636354,0,5235.9696,0.7138796778777832,0,57547.2121,-0.23431216086817752,0,4.5796,0.7833333333333334,0,1976.0400000000002,61.6764,1748.1966,3853.7400000000002,120.2834,2025-06-16 04:00:00+00:00
31.94,51.0,999.0,0.0,0.0,228.87,0.12,3.92,77.18,2.45,59.99,194.22,28.15,4.0,153.0,120.0,153.0,0.9659258262890683,0.25881904510252074,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,58.39,55.46,54.34,,,,,,57.946666666666665,2.2973100211624238,55.46,59.99,55.708333333333336,2.8974431257000823,52.7,59.99,,,,,,,,,0.02740195238910781,,,185.78,154.77,144.76,,,,,,178.25666666666666,20.773204695793446,154.77,194.22,159.095,24.912061937944845,136.51,194.22,,,,,,,,,0.04543007858757675,,,1020.1636000000001,32584.025384000004,0.0668002672010688,0,0,2601.0,0,0,0.0,0,1,0.0010020040080160886,1,0,3598.8001000000004,0.02740195238910781,1,0,37721.4084,0.04543007858757675,1,0,15.366399999999999,-0.11111111111111116,0,5956.752400000001,0.06661138750691009,0,52381.4769,-0.0459377214556671,0,6.002500000000001,0.1448598130841121,0,1628.94,0.0,1916.0806000000002,3059.4900000000002,0.0,2025-06-16 05:00:00+00:00
32.94,49.0,998.0,0.0,0.0,225.84,0.14,3.55,80.58,2.67,61.41,196.93,27.47,4.0,154.0,122.0,154.0,1.0,6.123233995736766e-17,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,1,0,0,59.99,58.39,55.46,52.7,,,,,59.93,1.5108937752204545,58.39,61.41,57.160000000000004,3.249332239091593,53.37,61.41,,,,,,,,,0.023670611768628058,0.1652751423149903,,194.22,185.78,154.77,136.51,,,,,192.31000000000003,5.815212807800075,185.78,196.93,169.165,26.138208622627538,138.53,196.93,,,,,,,,,0.013953248893007864,0.44260493736722606,,1085.0435999999997,35741.33618399999,0.031308703819661776,0,0,2401.0,0,0,0.0,0,1,-0.0010010010010009784,1,0,3771.1880999999994,0.023670611768628058,1,0,38781.424900000005,0.013953248893007864,1,0,12.6025,-0.0943877551020409,0,6493.136399999999,0.044052863436123246,0,51003.7056,-0.013238956612924402,0,7.1289,0.0897959183673469,0,1614.06,0.0,2022.8453999999997,3009.0899999999997,0.0,2025-06-16 06:00:00+00:00
36.94,36.0,997.0,2.06,130.0,187.91,0.05,1.71,100.96,2.14,59.13,161.04,16.46,4.0,153.0,104.0,153.0,0.9659258262890683,-0.25881904510252063,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,0,1,0,61.41,59.99,58.39,53.37,,,,,60.17666666666667,1.1514049389043135,59.13,61.41,58.120000000000005,2.712120941256118,54.34,61.41,,,,,,,,,-0.037127503663898276,0.10792580101180449,,196.93,194.22,185.78,138.53,,,,,184.06333333333336,19.984780042155467,161.04,196.93,172.91666666666666,22.176979656090847,144.76,196.93,,,,,,,,,-0.1822474991113594,0.16249187901537576,,1364.5635999999997,50406.97938399999,0.12143290831815423,1,0,1296.0,0,0,4.2436,0,1,-0.0010020040080159776,1,0,3496.3569,-0.037127503663898276,1,0,25933.881599999997,-0.1822474991113594,1,0,2.9240999999999997,-0.5183098591549296,0,10192.921599999998,0.252916356415984,1,35310.168099999995,-0.16795076160113354,0,4.5796,-0.19850187265917596,0,1329.84,76.0964,2184.2622,2128.6800000000003,121.80780000000001,2025-06-16 07:00:00+00:00
36.94,34.0,996.0,4.12,90.0,183.27,0.05,1.07,109.87,1.54,55.66,133.63,13.79,4.0,151.0,90.0,151.0,0.8660254037844387,-0.4999999999999998,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,0,1,0,59.13,61.41,59.99,54.34,,,,,58.73333333333333,2.8954504543046995,55.66,61.41,58.339999999999996,2.3770065208156197,55.46,61.41,,,,,,,,,-0.05868425503128705,0.024291497975708287,,161.04,196.93,194.22,144.76,,,,,163.86666666666667,31.744527612382832,133.63,196.93,171.0616666666667,25.25506002104662,133.63,196.93,,,,,,,,,-0.17020615996025834,-0.0768858800773694,,1364.5635999999997,50406.97938399999,0.0,1,0,1156.0,0,0,16.9744,0,1,-0.0010030090270812808,1,0,3098.0355999999997,-0.05868425503128705,1,0,17856.976899999998,-0.17020615996025834,1,0,1.1449,-0.3742690058479532,0,12071.4169,0.08825277337559445,1,33587.892900000006,-0.024692672023841178,0,2.3716,-0.28037383177570097,0,1255.96,152.1928,2056.0804,1892.4399999999998,229.3192,2025-06-16 08:00:00+00:00
36.94,32.0,996.0,4.12,90.0,190.93,0.05,0.99,113.66,1.45,55.2,123.51,13.76,4.0,150.0,85.0,150.0,0.7071067811865476,-0.7071067811865475,-0.10116832198743204,-0.9948693233918952,1.2246467991473532e-16,-1.0,0.0,1.0,0,1,0,0,0,1,0,55.66,59.13,61.41,55.46,,,,,56.663333333333334,2.1485421413910744,55.2,59.13,58.29666666666666,2.441505000336194,55.2,61.41,,,,,,,,,-0.008264462809917217,-0.004688063469166948,,133.63,161.04,196.93,154.77,,,,,139.39333333333335,19.417446622389264,123.51,161.04,165.85166666666666,31.692170273849456,123.51,196.93,,,,,,,,,-0.07573149741824436,-0.20197712735026174,,1364.5635999999997,50406.97938399999,0.0,1,0,1024.0,0,0,16.9744,0,1,0.0,1,0,3047.0400000000004,-0.008264462809917217,1,0,15254.7201,-0.07573149741824436,1,0,0.9801,-0.07476635514018692,0,12918.595599999999,0.034495312642213394,1,36454.2649,0.04179625688874333,0,2.1025,-0.05844155844155852,0,1182.08,152.1928,2039.088,1766.4,227.424,2025-06-16 09:00:00+00:00
