temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_spring,is_summer,is_autumn,is_winter,is_night,is_morning_rush,is_evening_rush,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm2_5_rolling_mean_3h,pm2_5_rolling_std_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,pm10_rolling_mean_3h,pm10_rolling_std_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,temp_squared,temp_cubed,temp_change_rate,is_hot,is_cold,humidity_squared,is_high_humidity,is_low_humidity,wind_speed_squared,is_high_wind,is_calm,pressure_change_rate,is_low_pressure,is_high_pressure,pm2_5_squared,pm2_5_change_rate,is_high_pm2_5,is_low_pm2_5,pm10_squared,pm10_change_rate,is_high_pm10,is_low_pm10,no2_squared,no2_change_rate,is_high_no2,o3_squared,o3_change_rate,is_high_o3,co_squared,co_change_rate,is_high_co,so2_squared,so2_change_rate,is_high_so2,temp_humidity_interaction,temp_wind_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,wind_pm2_5_interaction,time
31.94,62.0,999.0,5.14,230.0,138.64,0.0,2.55,58.83,4.08,28.09,109.78,1.03,4.0,85.0,78.0,85.0,0.0,1.0,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.1636000000001,32584.025384000004,,0,0,3844.0,0,0,26.419599999999996,0,0,,1,0,789.0481,,0,0,12051.6484,,1,0,6.5024999999999995,,0,3460.9689,,0,19221.049599999995,,0,16.6464,,0,1980.28,164.17159999999998,897.1946,1741.58,144.3826,2025-08-11 00:00:00+00:00
31.94,62.0,1000.0,4.12,230.0,141.99,0.0,2.77,54.86,4.92,28.67,110.12,0.94,4.0,86.0,78.0,86.0,0.25881904510252074,0.9659258262890683,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,28.09,,,,,,,,28.380000000000003,0.4101219330881989,28.09,28.67,28.380000000000003,0.4101219330881989,28.09,28.67,28.380000000000003,0.4101219330881989,28.09,28.67,28.380000000000003,0.4101219330881989,28.09,28.67,0.020647917408330434,,,109.78,,,,,,,,109.95,0.24041630560342858,109.78,110.12,109.95,0.24041630560342858,109.78,110.12,109.95,0.24041630560342858,109.78,110.12,109.95,0.24041630560342858,109.78,110.12,0.00309710329750413,,,1020.1636000000001,32584.025384000004,0.0,0,0,3844.0,0,0,16.9744,0,1,0.0010010010010010895,1,0,821.9689000000001,0.020647917408330496,0,0,12126.414400000001,0.0030971032975042334,1,0,7.6729,0.0862745098039217,0,3009.6196,-0.06748257691653914,0,20161.1601,0.024163300634737706,0,24.2064,0.2058823529411764,0,1980.28,131.5928,915.7198000000001,1777.5400000000002,118.1204,2025-08-11 01:00:00+00:00
30.94,70.0,1000.0,5.14,230.0,147.02,0.04,3.13,48.13,5.16,28.38,109.19,0.88,4.0,85.0,78.0,85.0,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,28.67,28.09,,,,,,,28.38,0.2900000000000009,28.09,28.67,28.38,0.2900000000000009,28.09,28.67,28.38,0.2900000000000009,28.09,28.67,28.38,0.2900000000000009,28.09,28.67,-0.010115102895012301,,,110.12,109.78,,,,,,,109.69666666666667,0.4705670338361332,109.19,110.12,109.69666666666667,0.4705670338361332,109.19,110.12,109.69666666666667,0.4705670338361332,109.19,110.12,109.69666666666667,0.4705670338361332,109.19,110.12,-0.008445332364693124,,,957.2836000000001,29618.354584000004,-0.03130870381966189,0,0,4900.0,0,0,26.419599999999996,0,0,0.0,1,0,805.4244,-0.010115102895012273,0,0,11922.4561,-0.008445332364693137,1,0,9.796899999999999,0.12996389891696736,0,2316.4969,-0.12267590229675529,0,21614.880400000002,0.03542502993168539,0,26.625600000000002,0.04878048780487809,0,2165.8,159.0316,878.0772000000001,1986.6,145.8732,2025-08-11 02:00:00+00:00
30.94,70.0,1001.0,6.17,230.0,152.22,0.38,3.19,43.14,4.9,27.78,108.1,0.84,4.0,84.0,77.0,84.0,0.7071067811865475,0.7071067811865476,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,28.38,28.67,28.09,,,,,,28.23,0.3821866908549626,27.78,28.67,28.23,0.3821866908549626,27.78,28.67,28.23,0.3821866908549626,27.78,28.67,28.23,0.3821866908549626,27.78,28.67,-0.02114164904862572,,,109.19,110.12,109.78,,,,,,109.29750000000001,0.8859787431611105,108.1,110.12,109.29750000000001,0.8859787431611105,108.1,110.12,109.29750000000001,0.8859787431611105,108.1,110.12,109.29750000000001,0.8859787431611105,108.1,110.12,-0.009982599139115336,,,957.2836000000001,29618.354584000004,0.0,0,0,4900.0,0,0,38.0689,0,0,0.0009999999999998899,1,0,771.7284000000001,-0.0211416490486257,0,0,11685.609999999999,-0.009982599139115367,1,0,10.1761,0.019169329073482455,0,1861.0596,-0.10367753999584461,0,23170.9284,0.035369337505101184,0,24.010000000000005,-0.050387596899224785,0,2165.8,190.8998,859.5132000000001,1944.6000000000001,171.4026,2025-08-11 03:00:00+00:00
31.94,66.0,1001.0,7.2,230.0,153.6,0.65,2.66,44.58,4.43,27.72,108.49,0.76,4.0,84.0,77.0,84.0,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,27.78,28.38,28.67,,,,,,28.1375,0.46349217900629186,27.72,28.67,28.127999999999997,0.40195770921827134,27.72,28.67,28.127999999999997,0.40195770921827134,27.72,28.67,28.127999999999997,0.40195770921827134,27.72,28.67,-0.002159827213822976,,,108.1,109.19,110.12,,,,,,108.975,0.8865852092908733,108.1,110.12,109.13600000000001,0.848015330050116,108.1,110.12,109.13600000000001,0.848015330050116,108.1,110.12,109.13600000000001,0.848015330050116,108.1,110.12,0.003607770582793715,,,1020.1636000000001,32584.025384000004,0.03232062055591478,0,0,4356.0,0,0,51.84,0,0,0.0,1,0,768.3983999999999,-0.002159827213823018,0,0,11770.0801,0.0036077705827937123,1,0,7.0756000000000006,-0.16614420062695923,0,1987.3763999999999,0.033379694019471495,0,23592.96,0.009065825778478587,0,19.624899999999997,-0.09591836734693893,0,2108.04,229.96800000000002,885.3768,1829.52,199.584,2025-08-11 04:00:00+00:00
32.94,62.0,1001.0,7.2,230.0,150.52,0.5,1.98,53.76,4.06,29.42,110.9,0.64,4.0,87.0,79.0,87.0,0.9659258262890683,0.25881904510252074,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,27.72,27.78,28.38,28.09,,,,,28.325,0.7884795495128591,27.72,29.42,28.343333333333334,0.638331157524578,27.72,29.42,28.343333333333334,0.638331157524578,27.72,29.42,28.343333333333334,0.638331157524578,27.72,29.42,0.06132756132756143,0.04734781060875763,,108.49,108.1,109.19,109.78,,,,,109.16999999999999,1.2383591293858764,108.1,110.9,109.43,1.0459063055551439,108.1,110.9,109.43,1.0459063055551439,108.1,110.9,109.43,1.0459063055551439,108.1,110.9,0.0222140289427598,0.010202222627072368,,1085.0435999999997,35741.33618399999,0.031308703819661776,0,0,3844.0,0,0,51.84,0,0,0.0,1,0,865.5364000000001,0.06132756132756145,0,0,12298.810000000001,0.0222140289427597,1,0,3.9204,-0.255639097744361,0,2890.1375999999996,0.20592193808882908,0,22656.270400000005,-0.020052083333333193,0,16.483599999999996,-0.08352144469525957,0,2042.2799999999997,237.16799999999998,969.0948,1824.0400000000002,211.824,2025-08-11 05:00:00+00:00
33.94,55.0,1001.0,7.2,230.0,146.27,0.31,1.39,65.51,3.86,32.88,115.02,0.47,4.0,95.0,81.0,95.0,1.0,6.123233995736766e-17,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,1,0,0,29.42,27.72,27.78,28.09,,,,,29.450000000000003,2.4185119391890555,27.72,32.88,28.99142857142857,1.8110073492527916,27.72,32.88,28.99142857142857,1.8110073492527916,27.72,32.88,28.99142857142857,1.8110073492527916,27.72,32.88,0.1176070700203943,0.17052331790672848,,110.9,108.49,108.1,109.78,,,,,110.6275,3.179385422792693,108.1,115.02,110.22857142857143,2.318537100353214,108.1,115.02,110.22857142857143,2.318537100353214,108.1,115.02,110.22857142857143,2.318537100353214,108.1,115.02,0.03715058611361578,0.04773182729094548,,1151.9235999999999,39096.28698399999,0.030358227079538613,0,0,3025.0,0,0,51.84,0,0,0.0,1,0,1081.0944000000002,0.11760707002039439,0,0,13229.6004,0.03715058611361588,1,0,1.9320999999999997,-0.297979797979798,0,4291.560100000001,0.21856398809523814,0,21394.912900000003,-0.02823545043847997,0,14.8996,-0.049261083743842304,0,1866.6999999999998,244.368,1115.9472,1808.4,236.73600000000002,2025-08-11 06:00:00+00:00
35.94,49.0,1000.0,8.23,230.0,134.99,0.19,0.94,75.31,3.5,32.74,111.84,0.14,4.0,94.0,79.0,94.0,0.9659258262890683,-0.25881904510252063,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,0,1,0,32.88,29.42,27.72,28.67,,,,,30.690000000000005,2.5450867699681035,27.72,32.88,29.655714285714286,2.229677533806606,27.72,32.88,29.46,2.137214475499761,27.72,32.88,29.46,2.137214475499761,27.72,32.88,-0.004257907542579093,0.14196023718172307,,115.02,110.9,108.49,110.12,,,,,111.5625,2.7024973018796272,108.49,115.02,110.52285714285713,2.381978969160688,108.1,115.02,110.43,2.220868555961191,108.1,115.02,110.43,2.220868555961191,108.1,115.02,-0.027647365675534625,0.015619324373410813,,1291.6835999999998,46423.108583999994,0.058927519151443786,1,0,2401.0,0,0,67.7329,0,0,-0.0009990009990009652,1,0,1071.9076000000002,-0.0042579075425790425,0,0,12508.1856,-0.027647365675534608,1,0,0.8835999999999999,-0.3237410071942446,0,5671.596100000001,0.14959548160586156,0,18222.300100000004,-0.07711765912353863,0,12.25,-0.09326424870466321,0,1761.06,295.7862,1176.6756,1604.26,269.45020000000005,2025-08-11 07:00:00+00:00
36.94,47.0,999.0,7.2,230.0,126.83,0.14,0.75,79.23,3.17,31.73,108.78,0.0,4.0,92.0,78.0,92.0,0.8660254037844387,-0.4999999999999998,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,0,1,0,32.74,32.88,29.42,28.38,,,,,31.692500000000003,1.599278483150032,29.42,32.88,30.092857142857145,2.3029742673747964,27.72,32.88,29.712222222222223,2.1375849560764713,27.72,32.88,29.712222222222223,2.1375849560764713,27.72,32.88,-0.030849114233353743,0.1180408738548274,,111.84,115.02,110.9,109.19,,,,,111.63499999999999,2.5943207203428007,108.78,115.02,110.33142857142856,2.471898248792,108.1,115.02,110.24666666666667,2.1490055839853004,108.1,115.02,110.24666666666667,2.1490055839853004,108.1,115.02,-0.027360515021459246,-0.003754922611960771,,1364.5635999999997,50406.97938399999,0.027824151363383454,1,0,2209.0,0,0,51.84,0,0,-0.0010000000000000009,1,0,1006.7929,-0.03084911423335379,0,0,11833.0884,-0.027360515021459197,1,0,0.5625,-0.202127659574468,0,6277.392900000001,0.05205152038241945,0,16085.848899999999,-0.060448922142380956,0,10.0489,-0.0942857142857143,0,1736.1799999999998,265.968,1172.1062,1491.31,228.45600000000002,2025-08-11 08:00:00+00:00
36.94,47.0,998.0,7.2,230.0,123.56,0.13,0.68,80.4,2.88,31.7,109.3,0.0,4.0,92.0,78.0,92.0,0.7071067811865476,-0.7071067811865475,0.7907757369376989,-0.6121059825476626,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0,1,0,0,0,1,0,31.73,32.74,32.88,27.78,,,,,32.2625,0.6348950044429933,31.7,32.88,30.56714285714286,2.2322090275906388,27.72,32.88,29.911,2.111089502813391,27.72,32.88,29.911,2.111089502813391,27.72,32.88,-0.0009454774661204267,0.14110871130309569,,108.78,111.84,115.02,108.1,,,,,111.235,2.855608516586262,108.78,115.02,110.34714285714286,2.463768889903667,108.1,115.02,110.152,2.048098304932327,108.1,115.02,110.152,2.048098304932327,108.1,115.02,0.004780290494576172,0.01110083256244221,,1364.5635999999997,50406.97938399999,0.0,1,0,2209.0,0,0,51.84,0,0,-0.0010010010010009784,1,0,1004.89,-0.0009454774661203924,0,0,11946.49,0.004780290494576178,1,0,0.4624000000000001,-0.09333333333333327,0,6464.160000000001,0.01476713366149185,0,15267.0736,-0.025782543562248628,0,8.2944,-0.09148264984227128,0,1736.1799999999998,265.968,1170.9979999999998,1489.8999999999999,228.24,2025-08-11 09:00:00+00:00
