temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_spring,is_summer,is_autumn,is_winter,is_night,is_morning_rush,is_evening_rush,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_6h,pm2_5_lag_12h,pm2_5_lag_24h,pm2_5_lag_48h,pm2_5_lag_72h,pm2_5_rolling_mean_3h,pm2_5_rolling_std_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_mean_6h,pm2_5_rolling_std_6h,pm2_5_rolling_min_6h,pm2_5_rolling_max_6h,pm2_5_rolling_mean_12h,pm2_5_rolling_std_12h,pm2_5_rolling_min_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_std_24h,pm2_5_rolling_min_24h,pm2_5_rolling_max_24h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_6h,pm10_lag_12h,pm10_lag_24h,pm10_lag_48h,pm10_lag_72h,pm10_rolling_mean_3h,pm10_rolling_std_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_mean_6h,pm10_rolling_std_6h,pm10_rolling_min_6h,pm10_rolling_max_6h,pm10_rolling_mean_12h,pm10_rolling_std_12h,pm10_rolling_min_12h,pm10_rolling_max_12h,pm10_rolling_mean_24h,pm10_rolling_std_24h,pm10_rolling_min_24h,pm10_rolling_max_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,temp_squared,temp_cubed,temp_change_rate,is_hot,is_cold,humidity_squared,is_high_humidity,is_low_humidity,wind_speed_squared,is_high_wind,is_calm,pressure_change_rate,is_low_pressure,is_high_pressure,pm2_5_squared,pm2_5_change_rate,is_high_pm2_5,is_low_pm2_5,pm10_squared,pm10_change_rate,is_high_pm10,is_low_pm10,no2_squared,no2_change_rate,is_high_no2,o3_squared,o3_change_rate,is_high_o3,co_squared,co_change_rate,is_high_co,so2_squared,so2_change_rate,is_high_so2,temp_humidity_interaction,temp_wind_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,wind_pm2_5_interaction,time
7.94,93.0,1019.0,2.06,130.0,1976.01,0.0,26.05,36.12,7.63,223.92,278.06,48.64,5.0,274.0,162.0,274.0,0.0,1.0,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.043600000000005,500.5661840000001,,0,1,8649.0,1,0,4.2436,0,1,,0,0,50140.166399999995,,1,0,77317.3636,,1,0,678.6025000000001,,0,1304.6544,,0,3904615.5201,,0,58.216899999999995,,0,738.4200000000001,16.3564,1777.9248,20824.559999999998,461.2752,2025-01-01 00:00:00+00:00
7.94,93.0,1019.0,0.0,0.0,2056.12,0.0,28.79,36.12,9.18,236.38,290.63,59.28,5.0,286.0,169.0,286.0,0.25881904510252074,0.9659258262890683,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,223.92,,,,,,,,230.14999999999998,8.810550493584389,223.92,236.38,230.14999999999998,8.810550493584389,223.92,236.38,230.14999999999998,8.810550493584389,223.92,236.38,230.14999999999998,8.810550493584389,223.92,236.38,0.055644873168988966,,,278.06,,,,,,,,284.345,8.888332239514899,278.06,290.63,284.345,8.888332239514899,278.06,290.63,284.345,8.888332239514899,278.06,290.63,284.345,8.888332239514899,278.06,290.63,0.045206070632237624,,,63.043600000000005,500.5661840000001,0.0,0,1,8649.0,1,0,0.0,0,1,0.0,0,0,55875.5044,0.05564487316898892,1,0,84465.7969,0.045206070632237694,1,0,828.8641,0.10518234165067164,0,1304.6544,0.0,0,4227629.454399999,0.04054129280722263,0,84.27239999999999,0.2031454783748361,0,738.4200000000001,0.0,1876.8572000000001,21983.34,0.0,2025-01-01 01:00:00+00:00
7.94,93.0,1019.0,0.0,0.0,2376.56,0.1,39.41,25.75,12.04,264.04,323.89,69.92,5.0,314.0,185.0,314.0,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,236.38,223.92,,,,,,,241.44666666666663,20.534286774400858,223.92,264.04,241.44666666666663,20.534286774400858,223.92,264.04,241.44666666666663,20.534286774400858,223.92,264.04,241.44666666666663,20.534286774400858,223.92,264.04,0.1170149758862849,,,290.63,278.06,,,,,,,297.5266666666667,23.680587689779426,278.06,323.89,297.5266666666667,23.680587689779426,278.06,323.89,297.5266666666667,23.680587689779426,278.06,323.89,297.5266666666667,23.680587689779426,278.06,323.89,0.11444104187454837,,,63.043600000000005,500.5661840000001,0.0,0,1,8649.0,1,0,0.0,0,1,0.0,0,0,69717.12160000001,0.11701497588628484,1,0,104904.7321,0.11444104187454829,1,0,1553.1480999999997,0.3688780826675928,0,663.0625,-0.2870985603543743,0,5648037.4336,0.15584693500379365,0,144.96159999999998,0.3115468409586055,0,738.4200000000001,0.0,2096.4776,24555.72,0.0,2025-01-01 02:00:00+00:00
7.94,93.0,1020.0,0.0,0.0,2910.61,3.21,54.15,6.97,13.23,302.45,361.13,66.88,5.0,352.0,210.0,352.0,0.7071067811865475,0.7071067811865476,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,264.04,236.38,223.92,,,,,,256.6975,34.80598068819016,223.92,302.45,256.6975,34.80598068819016,223.92,302.45,256.6975,34.80598068819016,223.92,302.45,256.6975,34.80598068819016,223.92,302.45,0.14547038327526118,,,323.89,290.63,278.06,,,,,,313.4275,37.21817868998965,278.06,361.13,313.4275,37.21817868998965,278.06,361.13,313.4275,37.21817868998965,278.06,361.13,313.4275,37.21817868998965,278.06,361.13,0.11497730711043876,,,63.043600000000005,500.5661840000001,0.0,0,1,8649.0,1,0,0.0,0,1,0.0009813542688910104,0,0,91476.00249999999,0.1454703832752613,1,0,130414.8769,0.11497730711043874,1,0,2932.2225,0.3740167470185234,0,48.5809,-0.7293203883495145,0,8471650.5721,0.2247155552563369,0,175.0329,0.09883720930232576,0,738.4200000000001,0.0,2401.453,28127.85,0.0,2025-01-01 03:00:00+00:00
7.94,93.0,1020.0,0.0,0.0,3257.75,12.18,49.35,5.81,7.39,327.57,381.47,21.79,5.0,377.0,239.0,377.0,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,302.45,264.04,236.38,,,,,,282.61,40.4024957974958,236.38,327.57,270.87199999999996,43.73984990829301,223.92,327.57,270.87199999999996,43.73984990829301,223.92,327.57,270.87199999999996,43.73984990829301,223.92,327.57,0.0830550504215573,,,361.13,323.89,290.63,,,,,,339.28,40.25375013585692,290.63,381.47,327.036,44.32663961998474,278.06,381.47,327.036,44.32663961998474,278.06,381.47,327.036,44.32663961998474,278.06,381.47,0.056323207709135306,,,63.043600000000005,500.5661840000001,0.0,0,1,8649.0,1,0,0.0,0,1,0.0,0,0,107302.10489999999,0.08305505042155725,1,0,145519.36090000003,0.05632320770913535,1,0,2435.4225,-0.08864265927977832,0,33.756099999999996,-0.16642754662840753,0,10612935.0625,0.11926709521371803,0,54.6121,-0.44142101284958435,0,738.4200000000001,0.0,2600.9058,30464.01,0.0,2025-01-01 04:00:00+00:00
8.94,87.0,1020.0,0.0,0.0,3417.97,14.98,44.55,16.81,6.14,341.65,401.61,13.93,5.0,391.0,268.0,391.0,0.9659258262890683,0.25881904510252074,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,327.57,302.45,264.04,223.92,,,,,308.9275,34.03503329903859,264.04,341.65,282.6683333333333,48.6359995956356,223.92,341.65,282.6683333333333,48.6359995956356,223.92,341.65,282.6683333333333,48.6359995956356,223.92,341.65,0.042983179167811414,0.5257681314755269,,381.47,361.13,323.89,278.06,,,,,367.025,33.16704941152691,323.89,401.61,339.465,49.987608764572855,278.06,401.61,339.465,49.987608764572855,278.06,401.61,339.465,49.987608764572855,278.06,401.61,0.0527957637559965,0.44432856218082434,,79.9236,714.5169839999999,0.12594458438287148,0,1,7569.0,1,0,0.0,0,1,0.0,0,0,116724.72249999999,0.04298317916781147,1,0,161290.5921,0.052795763755996594,1,0,1984.7024999999996,-0.09726443768996973,0,282.57609999999994,1.8932874354561102,0,11682518.920899998,0.049181183332054346,0,37.6996,-0.16914749661705009,0,777.78,0.0,3054.3509999999997,29723.55,0.0,2025-01-01 05:00:00+00:00
8.94,87.0,1021.0,0.0,0.0,3524.78,10.84,48.67,44.35,6.32,357.8,418.92,15.07,5.0,406.0,293.0,406.0,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,341.65,327.57,302.45,223.92,,,,,332.3675,23.459537328486828,302.45,357.8,293.40142857142854,52.70305855405719,223.92,357.8,293.40142857142854,52.70305855405719,223.92,357.8,293.40142857142854,52.70305855405719,223.92,357.8,0.0472705985657838,0.5978921043229727,,401.61,381.47,361.13,278.06,,,,,390.7825,24.99964716417681,361.13,418.92,350.8157142857143,54.62757419019046,278.06,418.92,350.8157142857143,54.62757419019046,278.06,418.92,350.8157142857143,54.62757419019046,278.06,418.92,0.04310151639650407,0.5065813133856003,,79.9236,714.5169839999999,0.0,0,1,7569.0,1,0,0.0,0,1,0.0009803921568627416,0,1,128020.84000000001,0.04727059856578375,1,0,175493.9664,0.04310151639650406,1,0,2368.7689,0.09248035914702601,0,1966.9225000000001,1.6383105294467581,0,12424074.048400002,0.031249542857310075,0,39.942400000000006,0.02931596091205213,0,777.78,0.0,3198.732,31128.600000000002,0.0,2025-01-01 06:00:00+00:00
9.94,81.0,1019.0,0.0,0.0,1495.36,2.77,21.93,135.9,20.27,168.39,197.03,6.9,5.0,219.0,122.0,219.0,0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,1,0,357.8,341.65,327.57,236.38,,,,,298.85249999999996,87.84758102342187,168.39,357.8,285.46857142857147,67.11352457554572,168.39,357.8,277.775,65.83534591257626,168.39,357.8,277.775,65.83534591257626,168.39,357.8,-0.5293739519284517,-0.2876300871478129,,418.92,401.61,381.47,290.63,,,,,349.7575,102.96197530318334,197.03,418.92,339.24000000000007,76.72863763506645,197.03,418.92,331.59250000000003,74.25710293106167,197.03,418.92,331.59250000000003,74.25710293106167,197.03,418.92,-0.5296715363315192,-0.3220589753294567,,98.80359999999999,982.1077839999998,0.11185682326621915,0,1,6561.0,1,0,0.0,0,1,-0.0019588638589618235,0,0,28355.192099999997,-0.5293739519284517,1,0,38820.8209,-0.5296715363315192,1,0,480.9249,-0.5494144236696117,0,18468.81,2.064261555806088,1,2236101.5295999995,-0.5757579196432119,0,410.87289999999996,2.2072784810126582,0,805.14,0.0,1673.7965999999997,13639.589999999998,0.0,2025-01-01 07:00:00+00:00
10.94,76.0,1018.0,2.06,360.0,1295.09,1.98,19.36,158.79,28.13,159.22,185.07,5.7,5.0,210.0,116.0,210.0,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,1,0,168.39,357.8,341.65,264.04,,,,,256.765,107.60839821624829,159.22,357.8,274.4457142857143,81.34683088626191,159.22,357.8,264.60222222222217,73.17243227093414,159.22,357.8,264.60222222222217,73.17243227093414,159.22,357.8,-0.0544569154937941,-0.39698530525677933,,197.03,418.92,401.61,323.89,,,,,300.65749999999997,126.85497635094968,185.07,418.92,324.16,95.8621536373975,185.07,418.92,315.31222222222226,84.9133656702197,185.07,418.92,315.31222222222226,84.9133656702197,185.07,418.92,-0.06070141602801608,-0.42860230325110377,,119.68359999999998,1309.3385839999999,0.10060362173038229,0,0,5776.0,0,0,4.2436,0,1,-0.0009813542688911214,0,0,25351.0084,-0.054456915493794056,1,0,34250.904899999994,-0.06070141602801604,1,0,374.8096,-0.11719106247150024,0,25214.264099999997,0.1684326710816777,1,1677258.1080999998,-0.13392761609244597,0,791.2968999999999,0.3877651702022693,0,831.4399999999999,22.5364,1741.8668,12100.72,327.9932,2025-01-01 08:00:00+00:00
11.94,71.0,1017.0,2.06,50.0,1161.58,1.2,15.77,173.09,29.09,158.09,183.24,5.26,5.0,209.0,115.0,209.0,0.7071067811865476,-0.7071067811865475,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,1,0,159.22,168.39,357.8,302.45,,,,,210.87500000000003,98.05853031055823,158.09,357.8,259.31,92.67378791582152,158.09,357.8,253.95099999999996,76.77094856345943,158.09,357.8,253.95099999999996,76.77094856345943,158.09,357.8,-0.007097098354478052,-0.4773020333939494,,185.07,197.03,418.92,361.13,,,,,246.065,115.39880545308951,183.24,418.92,304.06714285714287,109.67347608762503,183.24,418.92,302.105,90.29642668578987,183.24,418.92,302.105,90.29642668578987,183.24,418.92,-0.009888150429567106,-0.49259269515133053,,142.56359999999998,1702.2093839999998,0.09140767824497265,0,0,5041.0,0,0,4.2436,0,1,-0.0009823182711198308,0,0,24992.4481,-0.007097098354478026,1,0,33576.897600000004,-0.009888150429567144,1,0,248.69289999999998,-0.1854338842975206,0,29960.148100000002,0.0900560488695763,1,1349268.0964,-0.10308936058497864,0,846.2281,0.03412726626377527,0,847.74,24.5964,1887.5946,11224.39,325.66540000000003,2025-01-01 09:00:00+00:00
