temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
30.94,58,997,0.0,0,258.82,0.0,5.28,49.89,0.91,52.7,136.51,51.28,4,143.0,91.0,143.0,Multan,30.1575,71.5249
30.94,58,997,2.06,360,270.3,0.0,5.74,45.52,0.93,53.37,138.53,52.39,4,145.0,92.0,145.0,Multan,30.1575,71.5249
29.94,58,997,0.0,0,291.42,0.1,6.37,42.1,1.04,54.34,144.76,50.86,4,147.0,95.0,147.0,Multan,30.1575,71.5249
29.94,66,997,3.09,50,313.3,0.38,6.93,42.22,1.2,55.46,154.77,47.67,4,,,,Multan,30.1575,71.5249
29.94,66,998,2.06,50,239.89,0.13,4.41,72.36,2.14,58.39,185.78,30.98,4,152.0,116.0,152.0,Multan,30.1575,71.5249
31.94,51,999,0.0,0,228.87,0.12,3.92,77.18,2.45,59.99,194.22,28.15,4,153.0,120.0,153.0,Multan,30.1575,71.5249
32.94,49,998,0.0,0,225.84,0.14,3.55,80.58,2.67,61.41,196.93,27.47,4,154.0,122.0,154.0,Multan,30.1575,71.5249
36.94,36,997,2.06,130,187.91,0.05,1.71,100.96,2.14,59.13,161.04,16.46,4,153.0,104.0,153.0,Multan,30.1575,71.5249
36.94,34,996,4.12,90,183.27,0.05,1.07,109.87,1.54,55.66,133.63,13.79,4,151.0,90.0,151.0,Multan,30.1575,71.5249
36.94,32,996,4.12,90,190.93,0.05,0.99,113.66,1.45,55.2,123.51,13.76,4,150.0,85.0,150.0,Multan,30.1575,71.5249
35.94,36,995,3.09,130,203.89,0.05,1.04,118.49,1.54,56.68,118.92,14.15,4,152.0,83.0,152.0,Multan,30.1575,71.5249
36.94,32,995,4.12,130,215.52,0.05,1.14,121.31,1.66,58.21,115.42,14.58,4,152.0,81.0,152.0,Multan,30.1575,71.5249
35.94,36,994,4.12,130,227.31,0.04,1.32,123.75,1.79,59.74,112.81,15.12,4,153.0,80.0,153.0,Multan,30.1575,71.5249
36.94,34,994,3.09,130,245.05,0.03,1.93,123.88,1.97,61.98,112.97,17.33,4,154.0,80.0,154.0,Multan,30.1575,71.5249
35.94,34,995,5.14,130,269.55,0.0,2.78,121.64,2.23,64.86,115.31,21.28,4,156.0,81.0,156.0,Multan,30.1575,71.5249
33.94,43,996,0.0,0,293.31,0.0,3.27,120.09,2.62,67.28,117.11,25.37,4,157.0,82.0,157.0,Multan,30.1575,71.5249
33.94,43,997,0.0,0,311.73,0.0,3.46,118.04,3.08,67.92,116.65,29.03,4,157.0,82.0,157.0,Multan,30.1575,71.5249
32.94,46,997,0.0,0,330.09,0.0,3.52,116.12,3.47,67.67,115.73,32.32,4,157.0,81.0,157.0,Multan,30.1575,71.5249
31.94,48,997,0.0,0,345.73,0.0,3.47,113.58,3.63,66.71,113.91,34.57,4,157.0,80.0,157.0,Multan,30.1575,71.5249
30.94,55,998,0.0,0,358.07,0.0,3.51,108.86,3.53,65.86,112.11,36.69,4,156.0,79.0,156.0,Multan,30.1575,71.5249
30.94,55,997,0.0,0,375.04,0.0,3.73,103.26,3.44,66.66,112.89,39.96,4,157.0,80.0,157.0,Multan,30.1575,71.5249
31.94,51,997,0.0,0,392.06,0.0,3.95,97.82,3.44,68.33,115.5,43.11,4,158.0,81.0,158.0,Multan,30.1575,71.5249
31.94,51,997,0.0,0,407.0,0.0,4.21,92.14,3.47,70.07,118.12,46.26,4,159.0,82.0,159.0,Multan,30.1575,71.5249
30.94,55,997,0.0,0,424.36,0.0,4.5,86.87,3.49,71.97,120.44,49.53,4,160.0,83.0,160.0,Multan,30.1575,71.5249
32.45,49,997,2.44,166,443.13,0.0,4.78,81.96,3.51,73.82,122.28,52.39,4,160.0,84.0,160.0,Multan,30.1575,71.5249
32.45,49,997,2.44,166,443.13,0.0,4.78,81.96,3.51,73.82,122.28,52.39,4,160.0,84.0,160.0,Multan,30.1575,71.5249
32.45,49,997,2.44,166,443.13,0.0,4.78,81.96,3.51,73.82,122.28,52.39,4,160.0,84.0,160.0,Multan,30.1575,71.5249
