temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
29.94,79,1001,4.12,130,561.66,0.0,7.05,64.87,2.03,65.62,89.87,1.91,4,156,68.0,156.0,Multan,30.1575,71.5249
29.94,79,1002,3.09,130,559.41,0.0,6.7,62.21,2.58,66.19,91.83,1.68,4,157,69.0,157.0,Multan,30.1575,71.5249
28.94,79,1003,4.12,130,558.39,0.06,6.9,57.01,3.26,64.62,92.54,1.67,4,156,70.0,156.0,Multan,30.1575,71.5249
29.94,74,1003,3.09,50,556.0,0.46,6.98,55.3,4.05,62.36,93.73,1.7,4,155,70.0,155.0,Multan,30.1575,71.5249
29.94,74,1003,3.09,50,537.54,0.44,6.65,59.85,4.98,59.98,96.07,1.47,4,153,71.0,153.0,Multan,30.1575,71.5249
31.94,66,1003,2.06,50,532.28,0.36,6.14,65.52,4.96,59.73,97.95,1.36,4,153,72.0,153.0,Multan,30.1575,71.5249
33.94,59,1002,3.09,50,522.99,0.24,5.19,76.5,4.97,62.18,100.71,1.24,4,154,74.0,154.0,Multan,30.1575,71.5249
34.94,55,1001,4.12,50,411.02,0.11,2.77,93.41,4.05,41.17,64.33,0.5,3,115,56.0,115.0,Multan,30.1575,71.5249
35.94,49,1000,4.12,50,364.24,0.08,1.92,101.05,3.09,30.46,43.04,0.27,3,90,40.0,90.0,Multan,30.1575,71.5249
36.94,44,999,3.09,50,355.51,0.08,1.82,103.77,2.93,27.74,37.01,0.23,3,84,34.0,84.0,Multan,30.1575,71.5249
36.94,44,998,5.14,50,356.93,0.08,1.93,107.32,3.09,27.53,35.01,0.23,3,83,32.0,83.0,Multan,30.1575,71.5249
36.94,44,997,2.06,90,363.8,0.08,2.28,110.86,3.53,29.55,36.1,0.27,3,88,33.0,88.0,Multan,30.1575,71.5249
36.94,44,997,2.06,130,371.65,0.08,2.81,113.53,4.01,31.26,37.21,0.31,3,91,34.0,91.0,Multan,30.1575,71.5249
36.94,44,997,2.06,90,412.01,0.11,5.7,102.11,4.22,34.04,39.71,1.12,3,97,37.0,97.0,Multan,30.1575,71.5249
35.94,46,997,0.0,0,473.51,0.02,9.34,83.43,4.12,37.65,43.17,2.24,3,106,40.0,106.0,Multan,30.1575,71.5249
33.94,55,998,0.0,0,525.68,0.0,11.27,70.46,3.88,40.85,46.23,3.09,3,114,43.0,114.0,Multan,30.1575,71.5249
33.94,55,998,0.0,0,578.38,0.0,13.46,56.11,3.31,42.99,48.58,4.1,3,119,45.0,119.0,Multan,30.1575,71.5249
36.21,35,999,2.12,90,643.66,0.0,15.83,39.99,2.7,45.2,51.38,5.02,3,125,48.0,125.0,Multan,30.1575,71.5249
35.64,38,999,2.64,144,697.66,0.0,17.58,27.65,2.24,47.19,54.35,5.6,3,130,,,Multan,30.1575,71.5249
