temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
7.94,93,1019,2.06,130,1976.01,0.0,26.05,36.12,7.63,223.92,278.06,48.64,5,274.0,162.0,274.0,Multan,30.1575,71.5249
7.94,93,1019,0.0,0,2056.12,0.0,28.79,36.12,9.18,236.38,290.63,59.28,5,286.0,169.0,286.0,Multan,30.1575,71.5249
7.94,93,1019,0.0,0,2376.56,0.1,39.41,25.75,12.04,264.04,323.89,69.92,5,314.0,185.0,314.0,Multan,30.1575,71.5249
7.94,93,1020,0.0,0,2910.61,3.21,54.15,6.97,13.23,302.45,361.13,66.88,5,352.0,210.0,352.0,Multan,30.1575,71.5249
7.94,93,1020,0.0,0,3257.75,12.18,49.35,5.81,7.39,327.57,381.47,21.79,5,377.0,239.0,377.0,Multan,30.1575,71.5249
8.94,87,1020,0.0,0,3417.97,14.98,44.55,16.81,6.14,341.65,401.61,13.93,5,391.0,268.0,391.0,Multan,30.1575,71.5249
8.94,87,1021,0.0,0,3524.78,10.84,48.67,44.35,6.32,357.8,418.92,15.07,5,406.0,293.0,406.0,Multan,30.1575,71.5249
9.94,81,1019,0.0,0,1495.36,2.77,21.93,135.9,20.27,168.39,197.03,6.9,5,219.0,122.0,219.0,Multan,30.1575,71.5249
10.94,76,1018,2.06,360,1295.09,1.98,19.36,158.79,28.13,159.22,185.07,5.7,5,210.0,116.0,210.0,Multan,30.1575,71.5249
11.94,71,1017,2.06,50,1161.58,1.2,15.77,173.09,29.09,158.09,183.24,5.26,5,209.0,115.0,209.0,Multan,30.1575,71.5249
12.94,67,1017,2.06,50,1281.74,1.08,19.88,161.65,25.51,169.39,197.45,10.01,5,220.0,122.0,220.0,Multan,30.1575,71.5249
13.94,62,1016,0.0,0,1615.52,0.96,33.59,147.34,25.99,193.7,228.4,20.77,5,244.0,137.0,244.0,Multan,30.1575,71.5249
12.94,71,1017,0.0,0,1895.9,0.3,48.67,128.75,26.46,209.22,250.09,31.66,5,259.0,148.0,259.0,Multan,30.1575,71.5249
11.94,76,1017,0.0,0,2109.53,0.01,57.58,108.72,25.03,219.1,266.37,41.54,5,269.0,157.0,269.0,Multan,30.1575,71.5249
17.16,17,1018,0.27,68,2323.15,0.0,63.06,91.55,24.32,235.36,291.13,52.69,5,285.0,169.0,285.0,Multan,30.1575,71.5249
16.97,17,1018,0.58,59,2563.48,0.0,67.17,77.25,25.27,258.76,322.68,63.84,5,309.0,184.0,309.0,Multan,30.1575,71.5249
9.94,87,1019,0.0,0,2563.48,0.0,61.69,71.53,24.08,267.54,336.47,70.93,5,318.0,191.0,318.0,Multan,30.1575,71.5249
16.8,17,1019,0.4,359,2590.18,0.0,56.21,70.1,23.13,274.89,347.43,76.0,5,325.0,197.0,325.0,Multan,30.1575,71.5249
16.23,18,1019,0.34,56,2696.99,0.0,54.84,69.38,23.6,288.29,363.62,83.09,5,338.0,213.0,338.0,Multan,30.1575,71.5249
15.93,18,1019,0.85,27,2750.4,0.0,52.78,68.66,23.6,296.41,370.81,88.16,5,346.0,224.0,346.0,Multan,30.1575,71.5249
15.85,18,1018,0.98,42,2696.99,0.0,45.93,70.81,22.41,301.23,373.88,92.21,5,351.0,228.0,351.0,Multan,30.1575,71.5249
8.94,93,1018,0.0,0,2616.88,0.0,38.04,73.67,20.5,306.4,379.17,92.21,5,356.0,236.0,356.0,Multan,30.1575,71.5249
14.96,20,1018,1.19,32,2590.18,0.0,32.56,70.1,17.17,315.33,389.27,84.1,5,365.0,250.0,365.0,Multan,30.1575,71.5249
14.28,21,1017,0.92,37,2590.18,0.0,30.16,65.09,14.78,325.17,400.5,78.02,5,375.0,266.0,375.0,Multan,30.1575,71.5249
14.08,21,1018,0.81,9,2590.18,0.0,28.79,60.08,12.87,332.98,407.96,71.94,5,383.0,277.0,383.0,Multan,30.1575,71.5249
14.08,21,1018,0.81,9,2590.18,0.0,28.79,60.08,12.87,332.98,407.96,71.94,5,383.0,277.0,383.0,Multan,30.1575,71.5249
14.08,21,1018,0.81,9,2590.18,0.0,28.79,60.08,12.87,332.98,407.96,71.94,5,383.0,277.0,383.0,Multan,30.1575,71.5249
14.08,21,1018,0.81,9,2590.18,0.0,28.79,60.08,12.87,332.98,407.96,71.94,5,383.0,277.0,383.0,Multan,30.1575,71.5249
7.94,93,1018,0.0,0,2616.88,0.0,28.79,54.36,10.61,339.47,413.63,59.28,5,389.0,285.0,389.0,Multan,30.1575,71.5249
6.94,100,1018,0.0,0,2857.21,0.01,38.39,38.62,8.58,360.4,438.64,38.0,5,408.0,318.0,408.0,Multan,30.1575,71.5249
6.94,100,1019,0.0,0,3417.97,1.51,56.89,14.31,7.99,397.69,476.16,24.07,5,432.0,365.0,432.0,Multan,30.1575,71.5249
16.83,18,1020,0.39,220,3845.21,11.06,56.21,10.73,7.39,423.02,498.93,17.23,5,449.0,394.0,449.0,Multan,30.1575,71.5249
7.94,100,1020,0.0,0,3952.03,14.98,52.09,27.89,7.27,436.22,516.2,16.47,5,458.0,412.0,458.0,Multan,30.1575,71.5249
8.94,100,1020,0.0,0,4005.43,10.84,53.47,66.52,7.51,455.15,532.57,18.75,5,470.0,429.0,470.0,Multan,30.1575,71.5249
9.94,93,1019,0.0,0,1976.01,2.51,26.73,157.36,29.33,273.88,313.93,10.26,5,324.0,180.0,324.0,Multan,30.1575,71.5249
12.94,76,1018,2.06,270,1815.8,1.87,24.33,181.67,34.33,261.37,295.6,9.37,5,312.0,171.0,312.0,Multan,30.1575,71.5249
13.94,67,1017,0.0,0,1628.88,1.2,20.56,191.69,35.29,249.29,280.97,7.98,5,299.0,164.0,299.0,Multan,30.1575,71.5249
14.94,58,1016,0.0,0,1642.23,0.96,22.62,171.66,28.13,249.86,283.86,10.01,5,299.0,165.0,299.0,Multan,30.1575,71.5249
15.94,55,1016,0.0,0,1922.61,0.85,32.9,137.33,19.31,270.3,311.17,16.21,5,321.0,179.0,321.0,Multan,30.1575,71.5249
15.94,55,1016,0.0,0,2162.93,0.29,43.87,105.86,15.5,283.41,330.68,22.55,5,334.0,188.0,334.0,Multan,30.1575,71.5249
15.94,59,1017,0.0,0,2323.15,0.01,49.35,79.39,14.07,290.11,346.58,32.17,5,340.0,196.0,340.0,Multan,30.1575,71.5249
13.94,62,1017,0.0,0,2483.37,0.0,50.04,62.23,12.87,303.66,371.07,40.53,5,354.0,224.0,354.0,Multan,30.1575,71.5249
12.94,71,1018,0.0,0,2643.59,0.0,49.35,52.93,12.64,322.64,400.53,46.1,5,372.0,266.0,372.0,Multan,30.1575,71.5249
12.94,71,1018,0.0,0,2643.59,0.0,43.18,52.21,11.92,332.46,416.75,46.61,5,382.0,290.0,382.0,Multan,30.1575,71.5249
