index,time,time_str,pm2_5,pm10,carbon_monoxide,ozone,sulphur_dioxide,nh3,us_aqi,temperature,humidity,pressure,wind_speed,wind_direction,wind_direction_sin,wind_direction_cos,is_wind_from_high_pm,is_wind_from_low_pm,pm2_5_lag_1h,pm2_5_lag_2h,pm2_5_lag_3h,pm2_5_lag_24h,pm10_lag_1h,pm10_lag_2h,pm10_lag_3h,pm10_lag_24h,co_lag_1h,o3_lag_1h,so2_lag_1h,temp_lag_1h,wind_speed_lag_1h,humidity_lag_1h,pressure_lag_1h,ozone_lag_3h,pm2_5_rolling_min_3h,pm2_5_rolling_mean_3h,pm2_5_rolling_max_3h,pm2_5_rolling_min_12h,pm2_5_rolling_mean_12h,pm2_5_rolling_max_12h,pm2_5_rolling_mean_24h,pm2_5_rolling_max_24h,pm10_rolling_min_3h,pm10_rolling_mean_3h,pm10_rolling_mean_12h,pm10_rolling_mean_24h,temp_rolling_mean_3h,humidity_rolling_mean_3h,wind_speed_rolling_mean_3h,pressure_rolling_mean_3h,temp_rolling_mean_12h,humidity_rolling_mean_12h,wind_speed_rolling_mean_12h,pressure_rolling_mean_12h,ozone_rolling_mean_3h,ozone_rolling_mean_12h,pm2_5_change_rate_1h,pm2_5_change_rate_6h,pm2_5_change_rate_24h,pm10_change_rate_1h,pm10_change_rate_6h,pm10_change_rate_24h,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,is_hot,is_night,is_morning_rush,is_evening_rush,is_high_pm2_5,is_high_o3,temp_humidity_interaction,temp_wind_interaction,wind_direction_temp_interaction,wind_direction_humidity_interaction,pressure_humidity_interaction,pm2_5_temp_interaction,pm2_5_humidity_interaction,pm2_5_pressure_interaction,pm10_temperature_interaction,pm10_pressure_interaction,co_pressure_interaction,o3_temp_interaction,so2_humidity_interaction
0,2025-06-25 20:00:00+00:00,2025-06-25 20:00:00,26.55,104.25,156.25,65.94,0.48,16.07,81.0,34.94,55.0,995.0,4.12,180.0,0.0,-1.0,0,1,26.53,26.59,25.91,25.34,104.32,103.73,99.93,100.86,159.57,67.51,0.51,35.94,4.12,52.0,995.0,68.33,25.91,26.395,26.59,25.08,27.518461538461533,31.9,30.5192,46.72,99.93,103.0575,102.18538461538462,118.7764,36.69,50.0,3.3475,994.75,39.863076923076925,42.15384615384615,3.8015384615384615,992.5384615384615,67.49,73.4523076923077,0.0007538635506973076,0.03428126217374363,0.04775059194948701,-0.000671012269938585,0.09864053114132153,0.03361094586555622,-0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,1921.6999999999998,143.9528,0.0,0.0,54725.0,927.6569999999999,1460.25,26417.25,3642.495,103728.75,155468.75,2303.9435999999996,26.4
1,2025-06-12 21:00:00+00:00,2025-06-12 21:00:00,37.72,124.12,210.22,69.04,1.55,35.42,106.0,35.94,46.0,995.0,0.0,0.0,0.0,1.0,0,0,36.58,35.35,34.31,38.15,119.94,116.59,112.39,140.28,218.59,72.27,1.65,35.94,0.0,46.0,996.0,84.14,34.31,35.989999999999995,37.72,26.18,30.687692307692313,37.72,35.3984,46.4,112.39,118.26,100.47076923076922,124.18,36.19,46.25,0.0,995.75,40.63230769230769,32.53846153846154,1.8215384615384616,994.8461538461538,75.8175,98.50999999999999,0.031164570803717897,0.26153846153846155,-0.011271297509829612,0.034850758712689736,0.29103390888287917,-0.11519817507841458,-0.7071067811865477,0.7071067811865474,0.6513724827222223,-0.7587581226927909,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0,1653.2399999999998,0.0,0.0,0.0,45770.0,1355.6568,1735.12,37531.4,4460.8728,123499.40000000001,209168.9,2481.2976,71.3
2,2025-07-31 01:00:00+00:00,2025-07-31 01:00:00,39.18,162.64,146.15,44.78,0.71,14.58,110.0,31.94,70.0,995.0,0.0,0.0,0.0,1.0,0,0,37.31,35.85,35.17,49.06,155.47,149.7,145.81,219.61,146.13,46.46,0.63,31.94,2.06,70.0,995.0,48.77,35.17,36.877500000000005,39.18,35.17,39.95076923076923,45.6,43.974399999999996,50.96,145.81,153.405,160.69076923076923,185.2712,32.44,68.0,1.03,994.5,34.47846153846154,60.30769230769231,0.3169230769230769,994.3076923076923,46.910000000000004,49.36615384615384,0.050120611096220784,0.03186726362918096,-0.20138605788830008,0.04611822216504784,0.10429114611624107,-0.2594144164655527,0.25881904510252074,0.9659258262890683,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,1,0,0,1,0,2235.8,0.0,0.0,0.0,69650.0,1251.4092,2742.6,38984.1,5194.7216,161826.8,145419.25,1430.2732,49.699999999999996
3,2025-08-01 14:00:00+00:00,2025-08-01 14:00:00,41.88,150.58,165.92,63.48,3.77,1.64,117.0,33.94,66.0,996.0,4.12,230.0,-0.7660444431,-0.6427876097,0,1,42.5,42.9,43.11,43.74,148.62,146.93,144.99,141.46,164.54,66.16,4.08,33.94,4.12,66.0,996.0,72.11,41.88,42.5975,43.11,34.63,40.783846153846156,43.11,37.0184,43.74,144.99,147.78,143.99615384615385,131.9652,34.44,62.5,4.63,995.5,33.40153846153846,62.07692307692308,2.7715384615384617,997.3076923076923,67.66499999999999,61.61692307692307,-0.014588235294117588,-0.022180714452486476,-0.042524005486968434,0.01318799623200113,0.0291142700929471,0.06447052170224801,-0.4999999999999997,-0.8660254037844388,0.20129852008866006,0.9795299412524945,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,2240.04,139.8328,-25.999548398813996,-50.5589332446,65736.0,1421.4072,2764.0800000000004,41712.48,5110.6852,149977.68000000002,165256.31999999998,2154.5112,248.82
4,2025-08-05 14:00:00+00:00,2025-08-05 14:00:00,26.33,116.55,131.3,62.12,1.14,0.86,81.0,35.94,56.0,997.0,5.14,230.0,-0.7660444431,-0.6427876097,0,1,26.52,26.47,26.51,27.2,118.65,116.69,112.96,111.55,122.34,65.35,1.15,36.94,5.14,49.0,996.0,71.28,26.33,26.4575,26.52,26.33,27.952307692307688,32.18,28.328800000000005,32.18,112.96,116.21249999999999,120.83000000000001,120.42080000000001,36.69,50.75,6.6850000000000005,996.25,34.247692307692304,55.69230769230769,7.596153846153848,997.9230769230769,66.83,61.322307692307696,-0.007164404223227801,-0.020096762188314205,-0.0319852941176471,-0.01769911504424786,0.13100436681222707,0.04482294935006723,-0.4999999999999997,-0.8660254037844388,0.8486442574947509,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,2012.6399999999999,184.7316,-27.531637285013996,-42.8984888136,55832.0,946.3001999999999,1474.48,26251.01,4188.807,116200.34999999999,130906.1,2232.5928,63.839999999999996
5,2025-04-20 11:00:00+00:00,2025-04-20 11:00:00,11.9,40.59,139.27,146.93,1.06,2.8,50.0,37.94,6.0,1000.0,2.06,310.0,-0.7660444431,0.6427876097,0,1,12.73,13.93,15.9,,41.79,43.94,48.39,,141.53,146.98,1.3,37.94,3.09,7.0,1000.0,147.0,11.9,13.615,15.9,11.9,16.255454545454544,25.36,16.255454545454544,25.36,40.59,43.6775,51.105454545454556,51.105454545454556,37.19,8.0,2.8325,1000.75,31.446363636363632,19.636363636363637,2.962727272727273,1002.1818181818181,146.78500000000003,122.05181818181819,-0.06520031421838178,-0.3953252032520325,,-0.028715003589375346,-0.34627154131100013,,0.258819045102521,-0.9659258262890682,-0.7907757369376986,-0.6121059825476627,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,1,227.64,78.15639999999999,-29.063726171213997,-4.596266658599999,6000.0,451.486,71.4,11900.0,1539.9846,40590.0,139270.0,5574.5242,6.36
6,2025-07-25 13:00:00+00:00,2025-07-25 13:00:00,37.54,157.68,156.72,70.9,1.87,7.01,106.0,36.94,56.0,992.0,2.06,270.0,-1.0,-0.0,0,1,36.72,36.48,36.31,21.9,155.29,152.83,151.13,88.3,140.67,75.05,1.86,36.94,2.06,56.0,992.0,77.79,36.31,36.762499999999996,37.54,30.2,36.83538461538462,43.89,31.0804,43.89,151.13,154.23250000000002,146.15,122.59359999999998,36.69,56.0,2.06,992.5,32.94,71.0,0.7923076923076924,993.9230769230769,75.0575,68.03076923076922,0.02233115468409587,-0.08684018486986135,0.7141552511415525,0.015390559598171259,0.049032000532233416,0.785730464326161,-0.2588190451025208,-0.9659258262890683,-0.9377521321470804,0.3473052528448203,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,1,0,0,0,1,0,2068.64,76.0964,-36.94,-56.0,55552.0,1386.7276,2102.24,37239.68,5824.6992,156418.56,155466.24,2619.046,104.72
7,2025-07-12 06:00:00+00:00,2025-07-12 06:00:00,46.51,114.93,245.81,90.91,3.13,11.48,128.0,32.94,62.0,1002.0,3.09,230.0,-0.7660444431,-0.6427876097,0,1,37.75,31.9,29.78,35.24,101.89,91.45,83.4,107.58,241.96,75.31,2.9,30.94,0.0,66.0,1002.0,49.92,29.78,36.485,46.51,27.35,33.941538461538464,46.51,36.716,46.51,83.4,97.9175,96.30538461538461,99.8172,30.19,70.0,1.2875,1001.75,27.77076923076923,77.46153846153847,1.2592307692307694,1000.5384615384615,69.035,50.47846153846153,0.23205298013245027,0.6968259759211965,0.3198070374574346,0.12798115614878797,0.4610983981693365,0.06832124930284447,1.0,6.123233995736766e-17,0.6513724827222223,-0.7587581226927909,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,1,0,0,1,0,2042.2799999999997,101.78459999999998,-25.233503955713996,-47.4947554722,62124.0,1532.0394,2883.62,46603.02,3785.7942,115159.86,246301.62,2994.5753999999997,194.06
8,2025-06-23 21:00:00+00:00,2025-06-23 21:00:00,19.64,83.62,163.83,69.1,3.97,12.76,67.0,32.94,58.0,990.0,4.12,230.0,-0.7660444431,-0.6427876097,0,1,19.08,20.74,24.79,25.74,81.16,83.09,88.18,101.36,174.68,67.45,3.18,32.94,7.2,58.0,991.0,66.28,19.08,21.0625,24.79,19.08,28.006923076923076,31.91,29.770799999999994,36.18,81.16,84.0125,94.9353846153846,106.28359999999999,34.44,56.0,5.1450000000000005,990.75,38.01692307692308,49.76923076923077,3.643076923076923,990.6153846153846,67.48750000000001,75.41846153846154,0.029350104821803058,-0.3769035532994924,-0.2369852369852369,0.0303104977821588,-0.15244273261706864,-0.17501973164956586,-0.7071067811865477,0.7071067811865474,-0.9987165071710528,-0.05064916883871355,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,0,0,0,0,1910.52,135.7128,-25.233503955713996,-44.4305776998,57420.0,646.9416,1139.1200000000001,19443.600000000002,2754.4428,82783.8,162191.7,2276.1539999999995,230.26000000000002
9,2025-03-11 16:00:00+00:00,2025-03-11 16:00:00,45.06,64.28,894.55,70.1,3.99,47.12,125.0,22.94,56.0,1013.0,0.0,0.0,0.0,1.0,0,0,39.11,34.97,31.71,145.45,55.59,49.25,43.2,183.94,794.41,77.25,4.05,22.94,0.0,53.0,1013.0,101.57,31.71,37.712500000000006,45.06,27.14,31.998461538461534,45.06,47.3336,145.45,43.2,53.080000000000005,45.09615384615385,63.962799999999994,23.69,49.75,0.0,1012.5,22.786153846153848,51.0,2.6923076923076925,1013.9230769230769,82.9725,107.06923076923076,0.15213500383533632,0.5426223895926053,-0.6902028188380886,0.15632307969059178,0.6025928696085765,-0.6505382189844514,-0.8660254037844384,-0.5000000000000004,0.7907757369376989,-0.6121059825476626,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,0,1,0,1284.64,0.0,0.0,0.0,56728.0,1033.6764,2523.36,45645.78,1474.5832,65115.64,906179.1499999999,1608.094,223.44
